DOY,MOY,INMET,GRASS,ArcGIS,CitySim,SimStadt,Ladybug,SAGA
165,6,3.5147,3.375159,1.5729883,3.25654906,2.122,3.33518,4.6747666
166,6,3.1301,3.36988,1.2434001,2.91953948,2.26,2.993156,4.206646
167,6,3.2221,3.365315,1.0548904,2.9785582,2.259,3.06378,4.202426
168,6,3.642,3.517738,1.1898558,3.36423933,2.073,3.453596,4.198951
169,6,3.8104,3.514425,1.6028334,3.54163957,1.892,3.645084,4.196226
170,6,3.3981,3.511874,0.8567442,3.12357234,2.068,3.2179,4.1942495
171,6,3.2571,3.390625,0.84364355,3.03501743,2.189,3.12416,4.1930234
172,6,2.9432,3.389642,0.8436851,2.74758657,2.183,2.827304,4.1925483
173,6,3.2235,3.389382,0.85688214,2.98006168,2.044,3.070144,4.192822
174,6,3.5453,3.389844,1.3513566,3.25504546,2.014,3.357512,4.1938447
175,6,3.5538,3.510542,1.144755,3.29562526,1.927,3.398724,4.1956157
176,6,2.9143,3.512557,1.143886,2.73610606,2.196,2.813856,4.1981313
177,6,3.3737,3.515329,1.1557153,3.14586839,2.057,3.243784,4.2013916
178,6,3.368,3.362466,1.5257743,3.07120488,2.124,3.194972,4.2053916
179,6,3.7152,3.366499,1.5080066,3.43329139,1.91,3.53602,4.210128
180,6,3.6879,3.371239,1.320734,3.42868864,1.945,3.522576,4.215597
181,6,3.7102,3.376685,1.6722217,3.405417803,2.014,3.548364,4.221795
182,7,3.5446,3.399995,1.5675688,3.28928124,2.061,3.380228,4.1521567
183,7,3.2391,3.406864,1.7595922,3.04288468,2.176,3.107884,4.159728
184,7,3.3439,3.41443,2.1249675,3.16658211,2.088,3.230836,4.1680063
185,7,3.3856,3.422688,1.8002103,3.15008875,2.189,3.218776,4.176985
186,7,3.7264,3.431074,1.5005327,3.401782331,2.003,3.540328,4.1866567
187,7,4.0601,3.440735,1.6830834,3.79395565,1.945,3.88144,4.197015
188,7,3.6052,3.451077,1.7310656,3.41065194,2.178,3.475192,4.208053
189,7,3.6879,3.462094,1.7244323,3.411067428,2.09,3.534384,4.2197607
190,7,4.0528,3.473782,1.7484675,3.730403381,1.949,3.881028,4.2321313
191,7,3.6231,3.266425,2.059672,3.333312375,2.138,3.46662,4.2451553
192,7,3.4616,3.278547,2.2047566,3.197811589,2.265,3.322944,4.2588228
193,7,3.9396,3.291278,2.0977524,3.69539253,2.055,3.762032,4.273126
194,7,4.0868,3.30461,2.0676577,3.751622409,2.128,3.890136,4.4023296
195,7,3.8453,3.476618,1.8001505,3.549809829,2.221,3.684828,4.3035938
196,7,3.5912,3.492056,1.8118962,3.336919822,2.312,3.450684,4.319738
197,7,2.8963,3.508112,1.9039265,2.78366994,2.35,2.814884,4.3364736
198,7,3.6876,3.524779,2.522893,3.47132755,2.339,3.53,4.4403115
199,7,3.6049,3.54205,1.8086216,3.306740801,2.334,3.432804,4.45989
200,7,3.7874,3.559916,1.8635026,3.503286758,2.405,3.628236,4.4800327
201,7,4.3538,3.755208,2.1706868,4.016769656,2.305,4.153676,4.500725
202,7,4.2562,3.775414,1.9732096,3.969092213,2.357,4.103128,4.5219546
203,7,3.729,3.796224,2.6174426,3.45614361,2.466,3.570636,4.543706
204,7,3.5902,3.817629,2.2225852,3.342026186,2.502,3.452456,5.050807
205,7,3.5462,3.853843,1.937994,3.294696032,2.452,3.394456,5.075184
206,7,3.69,3.862184,2.38425,3.460935395,2.475,3.552712,5.100069
207,7,4.2004,3.700899,2.7033137,3.906769567,2.523,4.011464,5.1254434
208,7,4.2487,3.451194,2.2986272,3.99159038,2.415,4.035136,5.1512944
209,7,4.1107,3.472361,2.3188494,3.86056016,2.408,3.950732,5.1776035
210,7,3.8497,3.493994,2.7735383,3.59165913,2.518,3.68044,5.2043555
211,7,3.5878,3.516083,2.405781,3.35101265,2.448,3.438984,5.2315327
212,7,3.5416,3.817418,2.059963,3.31197334,2.496,3.408116,5.259119
213,8,3.8125,3.817968,2.8029937,3.59516226,2.619,3.69186,5.4744546
214,8,3.535,3.707705,2.8742834,3.30699678,2.54,3.383628,5.503233
215,8,3.2268,4.001906,2.4495212,3.09303225,2.576,3.11164,5.5323716
216,8,3.9812,4.028291,2.881697,3.75167177,2.598,3.833404,5.561853
217,8,3.6513,4.497231,2.9549036,3.49459817,2.597,3.527164,5.591662
218,8,4.4025,4.527912,2.5205193,4.07196445,2.389,4.177064,5.62178
219,8,4.6682,4.559045,2.9630356,4.32333071,2.364,4.448804,5.6521914
220,8,4.2608,4.311136,3.0379736,3.98039734,2.535,4.089028,5.6828784
221,8,4.0063,4.400954,3.036077,3.76566635,2.591,3.874032,5.713826
222,8,4.0943,4.371585,3.049545,3.81727579,2.596,3.934104,5.7450166
223,8,4.4773,3.611072,3.12615,4.14852106,2.404,4.285548,5.7764346
224,8,5.032,3.656821,2.671054,4.62333678,2.287,4.827396,5.645994
225,8,4.3951,3.68241,3.1394685,4.1004168,2.468,4.24058,5.401226
226,8,3.5862,4.309503,3.2176218,3.37028692,2.542,3.481336,5.4281216
227,8,3.7859,4.575365,2.751503,3.6445208,2.724,3.699072,5.4551504
228,8,4.1246,4.71994,3.2324783,3.85364994,2.569,3.979364,5.4837744
229,8,4.0755,4.754296,3.7378093,3.8238381,2.679,3.956052,5.5111187
230,8,3.7322,4.927262,2.8345474,3.59578029,2.709,3.652236,5.538556
231,8,3.8552,4.962696,3.3764504,3.597573287,2.557,3.726284,5.5660757
232,8,3.4585,4.998391,3.376956,3.26568929,2.686,3.384916,5.593663
233,8,3.569,5.034333,3.3932812,3.395851127,2.6,3.458476,5.6213057
234,8,3.9621,4.809015,3.9201494,3.7766263,2.611,3.85334,5.6489897
235,8,4.6146,4.75375,2.9777463,4.2521046,2.325,4.435028,5.6767046
236,8,4.8688,4.787908,3.541667,4.5437898,2.179,4.699644,5.7044375
237,8,4.7651,4.69992,3.542705,4.3951972,2.339,4.59066,5.7321763
238,8,4.815,4.814003,3.5597485,4.4494688,2.529,4.638712,5.7599087
239,8,4.7005,4.805778,4.1080576,4.315898589,2.389,4.49724,5.787624
240,8,4.9835,5.251215,3.6274724,4.5880811,2.312,4.766888,5.815309
241,8,5.0662,4.940812,4.184292,4.711406,2.316,4.840792,5.452182
242,8,5.2127,4.975948,3.7125374,4.8095594,2.359,5.00608,5.476699
243,8,4.6711,5.011175,3.7299473,4.42728509,2.665,4.524196,5.5011465
244,9,5.1567,4.93421,4.2992935,4.8298258,2.433,4.9761,5.8538193
