WallSurface_S,WallSurface_W,WallSurface_N,WallSurface_E,RoofSurface,doy
1477.82926,1454.78896,1028.36914,1553.84893,3336.919822,196
4026.30287,3518.49435,1857.74391,4139.77638,2783.66994,197
4073.12598,2954.41037,2044.55968,5458.20782,3471.32755,198
3852.21936,3407.89608,1958.34787,4781.27577,3306.740801,199
1935.0606,2631.33185,1084.60458,1388.79816,3503.286758,200
2048.66218,1316.84658,1610.31163,4396.47771,4016.769656,201
4283.61903,3529.33634,1845.18923,4639.53005,3969.092213,202
2719.67926,2460.91082,1786.30386,4624.93904,3456.14361,203
3580.49479,2960.60951,1845.7303,4814.44438,3342.026186,204
2288.94104,1582.78373,1367.46462,3373.49161,3294.696032,205
1898.543817,1032.074718,1144.913421,2688.980895,3460.935395,206
2236.731142,1210.460836,1480.081877,4037.582892,3906.769567,207
2457.14034,2246.9548,1221.15512,2072.3156,3991.59038,208
2687.555735,2348.905049,1153.154807,2130.529745,3860.56016,209
3391.70338,2714.36554,1794.60129,4341.06307,3591.65913,210
3555.11696,3062.79025,1699.40868,4370.96754,3351.01265,211
3128.427878,2953.618876,1780.362564,3981.676065,3311.97334,212
4471.477925,3516.287991,1749.912055,4745.151832,3595.16226,213
4614.467822,3489.570861,2035.976548,5749.311596,3306.99678,214
3818.901519,2974.364636,1577.835544,3847.255458,3093.03225,215
3730.198678,2793.756859,1639.072743,4771.561217,3751.67177,216
3641.73871,2234.38714,1658.708,5258.29548,3494.59817,217
3140.259,2088.6732,1555.2349,3495.88015,4071.96445,218
955.13742,842.23672,1001.11349,1541.26225,4323.33071,219
3884.8355,3237.9521,1680.7755,3951.0003,3980.39734,220
3389.49598,2145.0906,1515.2374,4006.4979,3765.66635,221
3076.53899,2212.1096,1409.7813,3667.67576,3817.27579,222
3303.5644,2273.3144,1410.5569,3818.78452,4148.52106,223
2898.922,2480.1864,1501.3052,2859.02012,4623.33678,224
3615.50012,2703.3416,1587.7446,3998.23789,4100.4168,225
3903.46859,2997.57652,1495.481,4421.53007,3370.28692,226
2005.23031,1703.2023,1412.6289,3498.23613,3644.5208,227
3357.37914,2271.1638,1360.2434,3547.67248,3853.64994,228
3553.38702,2152.18652,1269.08943,3348.05113,3823.8381,229
2882.032599,2063.652064,880.0326967,1399.059316,3595.78029,230
2873.45246,2149.81516,1124.4435,2365.55238,3597.573287,231
2687.79958,1949.42252,1168.36772,3219.8561,3265.68929,232
3444.37538,1941.95375,1411.18634,3613.51821,3395.851127,233
2762.00381,1662.51634,1338.3848,3158.9231,3776.6263,234
4215.39202,2781.2993,1325.51245,3056.15898,4252.1046,235
3516.29679,1896.05415,1390.4517,3336.80621,4543.7898,236
3582.79166,2276.19938,1185.23914,2669.94311,4395.1972,237
4753.78184,2767.35348,1318.64078,4697.3551,4449.4688,238
3468.72568,1689.62869,1155.12341,4432.11526,4315.898589,239
3702.28942,2424.82718,1085.52456,3037.99448,4588.0811,240
3855.83077,2635.41929,1317.87081,2977.04831,4711.406,241
3279.366411,1857.962205,1099.506971,3080.190736,4809.5594,242
3249.57413,2078.878133,949.458939,1716.743824,4427.28509,243
2989.1202,2404.1478,1014.2331,1432.5345,4829.8258,244
4060.9199,2845.5516,1111.2646,3392.1611,4740.73639,245
2337.3668,1657.1473,911.1583,1836.47787,4749.321709,246
1655.77236,975.1101,744.96,2047.33213,3584.72329,247
3778.5433,2566.5917,1011.3565,3026.7567,3941.921459,248
3017.04489,1524.47156,1047.72843,2801.95871,4019.958412,249
3737.32612,2274.2502,1055.5104,3346.17672,4727.025813,250
3618.29778,2470.3975,1004.9247,3106.37989,4573.856961,251
4544.53533,2620.3998,1061.4449,3459.31891,4758.039129,252
3828.0267,1931.75817,1031.07854,2816.32279,5183.019741,253
