GroundSurface,WallSurface_UUID_0aaf7b44-4fab-42b0-aaa7-380113caeea0,WallSurface_UUID_2ae98dca-a3b6-4890-a768-3bde754de4cb,WallSurface_UUID_1642fc1e-bbb4-49e9-b47d-881a3cf30be4,WallSurface_UUID_6e4f3933-7da7-446f-b8c2-6627879112b9,RoofSurface,doy
457.173,609.563,609.563,609.563,609.563,5161.32,319
203.196,270.926,270.926,270.926,270.926,5043.508,320
999.192,1332.254,1332.254,1332.254,1332.254,5295.252,321
567.568,756.754,756.754,756.754,756.754,5775.404,322
1038.182,1384.239,1384.239,1384.239,1384.239,4896.58,323
187.711,250.278,250.278,250.278,250.278,5523.364,324
104.839,139.781,139.781,139.781,139.781,5581.736,325
851.96,1135.944,1135.944,1135.944,1135.944,5067.928,326
468.797,625.061,625.061,625.061,625.061,4726.868,327
531.267,708.352,708.352,708.352,708.352,5265.812,328
852.335,1136.446,1136.446,1136.446,1136.446,5229.772,329
724.647,966.194,966.194,966.194,966.194,4716.868,330
149.199,198.93,198.93,198.93,198.93,5048.452,331
811.317,1081.753,1081.753,1081.753,1081.753,5579.832,332
688.155,917.538,917.538,917.538,917.538,5444.152,333
873.604,1164.803,1164.803,1164.803,1164.803,4999.792,334
634.297,845.728,845.728,845.728,845.728,5092.268,335
471.96,629.277,629.277,629.277,629.277,5500.888,336
741.278,988.369,988.369,988.369,988.369,5485.016,337
658.985,878.645,878.645,878.645,878.645,5727.684,338
836.825,1115.766,1115.766,1115.766,1115.766,5303.12,339
1026.149,1368.198,1368.198,1368.198,1368.198,5328,340
867.544,1156.724,1156.724,1156.724,1156.724,4899.024,341
485.692,647.589,647.589,647.589,647.589,5440.348,342
518.054,690.735,690.735,690.735,690.735,4938.584,343
234.259,312.343,312.343,312.343,312.343,4972.992,344
164.691,219.585,219.585,219.585,219.585,4758.444,345
666.719,888.959,888.959,888.959,888.959,4894.98,346
518.836,691.78,691.78,691.78,691.78,4951.556,347
129.103,172.136,172.136,172.136,172.136,4753.372,348
230.741,307.653,307.653,307.653,307.653,5350.416,349
519.52,692.693,692.693,692.693,692.693,5488.872,350
714.804,953.07,953.07,953.07,953.07,6042.332,351
479.231,638.974,638.974,638.974,638.974,5444.644,352
425.158,566.877,566.877,566.877,566.877,5185.82,353
400.652,534.201,534.201,534.201,534.201,6127.076,354
812.357,1083.141,1083.141,1083.141,1083.141,5452.744,355
479.892,639.854,639.854,639.854,639.854,5117.596,356
254.677,339.568,339.568,339.568,339.568,4761.972,357
417.599,556.797,556.797,556.797,556.797,5278.136,358
650.313,867.079,867.079,867.079,867.079,5325.24,359
153.365,204.484,204.484,204.484,204.484,5861.028,360
729.267,972.354,972.354,972.354,972.354,5343.364,361
801.523,1068.695,1068.695,1068.695,1068.695,5846.248,362
555.932,741.241,741.241,741.241,741.241,5443.108,363
909.638,1212.848,1212.848,1212.848,1212.848,5852.052,364
872.851,1163.799,1163.799,1163.799,1163.799,5785.296,365
