,G_Bn
2064,0
2065,0
2066,0
2067,0
2068,0
2069,1.334
2070,28.75
2071,97.515
2072,182.743
2073,237.116
2074,288.727
2075,268.402
2076,237.466
2077,234.327
2078,181.095
2079,107.942
2080,53.812
2081,5.078
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,1.399
2094,21.641
2095,57.315
2096,121.135
2097,154.706
2098,155.546
2099,169.452
2100,147.983
2101,128.937
2102,116.064
2103,64.672
2104,30.689
2105,6.097
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0.697
2118,15.963
2119,64.774
2120,119.19
2121,158.891
2122,188.223
2123,201.312
2124,178.809
2125,172.777
2126,144.872
2127,88.098
2128,38.613
2129,7.594
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,1.106
2142,22.004
2143,65.71
2144,130.363
2145,171.34
2146,248.024
2147,249.391
2148,238.32
2149,173.597
2150,125.462
2151,81.477
2152,40.689
2153,6.812
2154,0.139
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,1.32
2166,23.899
2167,59.91
2168,124.798
2169,186.427
2170,232.891
2171,252.733
2172,214.219
2173,182.339
2174,129.027
2175,87.865
2176,42.998
2177,6.582
2178,0.003
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,3.967
2190,32.66
2191,87.516
2192,159.783
2193,200.922
2194,225.657
2195,253.139
2196,224.546
2197,183.165
2198,155.957
2199,102.281
2200,43.741
2201,8.403
2202,0.021
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,2.343
2214,29.405
2215,93.349
2216,174.72
2217,229.075
2218,274.121
2219,278.783
2220,247.419
2221,201.119
2222,165.586
2223,101.908
2224,52.631
2225,8.588
2226,0.018
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,2.072
2238,32.086
2239,78.46
2240,146.259
2241,162.372
2242,202.892
2243,197.907
2244,232.652
2245,209.387
2246,154.318
2247,100.749
2248,44.362
2249,5.751
2250,0.076
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,2.728
2262,19.355
2263,58.803
2264,105.334
2265,127.705
2266,122.448
2267,116.905
2268,134.276
2269,140.174
2270,142.964
2271,110.819
2272,43.331
2273,8.325
2274,0.076
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,5.886
2286,33.074
2287,89.01
2288,137.122
2289,165.071
2290,222.605
2291,187.428
2292,187.92
2293,163.622
2294,107.337
2295,78.878
2296,54.1
2297,11.141
2298,0.217
2299,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,3.382
2310,41.058
2311,102.638
2312,142.09
2313,202.061
2314,234.161
2315,243.325
2316,199.996
2317,174.512
2318,148.195
2319,105.517
2320,45.44
2321,10.627
2322,0.005
2323,0
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,6.327
2334,47.229
2335,109.743
2336,198.555
2337,229.103
2338,274.295
2339,276.983
2340,241.013
2341,235.09
2342,183.596
2343,117.363
2344,60.685
2345,15.165
2346,0.041
2347,0
2348,0
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,0.001
2357,4.496
2358,45.524
2359,115.176
2360,168.736
2361,190.867
2362,202.535
2363,190.897
2364,246.267
2365,197.241
2366,190.507
2367,118.332
2368,50.17
2369,11.964
2370,0.069
2371,0
2372,0
2373,0
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,4.156
2382,39.438
2383,124.298
2384,223.692
2385,256.336
2386,260.363
2387,233.935
2388,227.733
2389,213.002
2390,127.312
2391,110.067
2392,49.39
2393,11.189
2394,0.092
2395,0
2396,0
2397,0
2398,0
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0.001
2405,3.595
2406,33.082
2407,84.747
2408,152.613
2409,188.123
2410,204.238
2411,229.032
2412,202.32
2413,188.035
2414,164.54
2415,111.79
2416,55.536
2417,10.881
2418,0.123
2419,0
2420,0
2421,0
2422,0
2423,0
2424,0
2425,0
2426,0
2427,0
2428,0.002
2429,7.61
2430,42.318
2431,112.384
2432,170.865
2433,222.729
2434,198.726
2435,209.04
2436,188.574
2437,196.622
2438,171.762
2439,125.612
2440,65.758
2441,15.67
2442,0.561
2443,0
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0.002
2453,7.823
2454,48.705
2455,124.75
2456,169.208
2457,193.428
2458,229.192
2459,217.119
2460,207.924
2461,188.425
2462,149.3
2463,99.876
2464,48.491
2465,16.042
2466,0.551
2467,0
2468,0
2469,0
2470,0
2471,0
2472,0
2473,0
2474,0
2475,0
2476,0.003
2477,9.931
2478,50.364
2479,116.634
2480,158.891
2481,194.045
2482,206.851
2483,203.53
2484,200.182
2485,176.638
2486,154.088
2487,106.99
2488,68.591
2489,16.127
2490,0.384
2491,0
2492,0
2493,0
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2500,0.003
2501,5.872
2502,41.748
2503,101.061
2504,167.078
2505,190.833
2506,247.346
2507,230.714
2508,214.073
2509,170.783
2510,179.52
2511,128.882
2512,77.999
2513,15.83
2514,0.35
2515,0
2516,0
2517,0
2518,0
