,G_Dh
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,6.589
1495,45.024
1496,85.79
1497,119.185
1498,140.428
1499,151.225
1500,140.559
1501,132.314
1502,115.013
1503,74.004
1504,31.742
1505,1.345
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,9.11
1519,52.775
1520,94.8
1521,128.899
1522,156.344
1523,160.249
1524,158.625
1525,136
1526,117.544
1527,73.572
1528,30.98
1529,1.453
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,10.308
1543,49.291
1544,95.434
1545,132.139
1546,157.495
1547,167.267
1548,167.65
1549,147.73
1550,117.134
1551,78.105
1552,36.017
1553,2.163
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,8.773
1567,46.475
1568,81.381
1569,119.109
1570,125.641
1571,148.446
1572,137.706
1573,127.332
1574,100.451
1575,73.771
1576,30.73
1577,3.068
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0.005
1590,10.711
1591,50.015
1592,85.476
1593,123.131
1594,159.432
1595,172.587
1596,163.148
1597,154.471
1598,116.405
1599,77.44
1600,32.228
1601,2.593
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0.024
1614,11.662
1615,49.712
1616,89.608
1617,123.049
1618,147.258
1619,161.977
1620,159.203
1621,131.192
1622,106.96
1623,74.245
1624,38.901
1625,3.612
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0.025
1638,14.38
1639,56.682
1640,98.43
1641,135.522
1642,147.837
1643,141.587
1644,128.813
1645,112.96
1646,98.957
1647,75.206
1648,36.805
1649,3.804
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0.034
1662,16.278
1663,61.091
1664,90.544
1665,115.275
1666,135.058
1667,131.893
1668,131.252
1669,117.553
1670,101.993
1671,75.93
1672,35.199
1673,4.214
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0.021
1686,16.198
1687,62.338
1688,102.477
1689,135.748
1690,150.364
1691,160.111
1692,163.3
1693,150.602
1694,134.495
1695,92.389
1696,46.392
1697,5.371
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0.072
1710,19.083
1711,64.292
1712,113.183
1713,145.007
1714,160.459
1715,177.422
1716,170.712
1717,152.029
1718,126.937
1719,88.423
1720,48.092
1721,6.804
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0.13
1734,19.034
1735,66.92
1736,106.314
1737,135.325
1738,154.249
1739,164.419
1740,161.196
1741,143.349
1742,124.369
1743,91.613
1744,47.887
1745,7.288
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0.217
1758,22.225
1759,63.834
1760,108.732
1761,140.535
1762,157.583
1763,172.549
1764,171.322
1765,148.925
1766,128.757
1767,98.181
1768,46.685
1769,7.208
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0.387
1782,22.892
1783,67.561
1784,110.716
1785,141.642
1786,163.594
1787,176.685
1788,174.97
1789,158.704
1790,128.92
1791,88.981
1792,45.849
1793,7.187
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0.286
1806,21.61
1807,64.235
1808,95.301
1809,138.302
1810,163.17
1811,186.837
1812,177.358
1813,149.671
1814,130.75
1815,96.784
1816,53.734
1817,8.494
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0.446
1830,22.989
1831,66.794
1832,107.119
1833,142.758
1834,166.819
1835,188.895
1836,185.26
1837,161.377
1838,131.916
1839,90.189
1840,47.439
1841,7.696
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0.617
1854,23.232
1855,66.655
1856,104.161
1857,126.245
1858,162.121
1859,181.115
1860,184.419
1861,168.724
1862,127.969
1863,85.414
1864,44.067
1865,8.443
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,1.39
1878,27.677
1879,71.988
1880,106.357
1881,149.523
1882,174.059
1883,181.019
1884,177.907
1885,157.822
1886,136.539
1887,93.628
1888,53.932
1889,11.229
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,2.054
1902,33.749
1903,81.5
1904,123
1905,150.689
1906,171.085
1907,185.587
1908,183.496
1909,145.885
1910,116.421
1911,90.694
1912,53.451
1913,11.625
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,2.265
1926,34.529
1927,78.318
1928,124.72
1929,160.401
1930,171.946
1931,193.112
1932,188.994
1933,172.126
1934,144.036
1935,98.117
1936,55.999
1937,14.599
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,2.647
1950,37.577
1951,86.137
1952,121.291
1953,155.584
1954,182.641
1955,190.979
1956,181.952
1957,161.774
1958,139.984
1959,100.922
1960,58.486
1961,15.196
1962,0.006
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,3.75
1974,34.579
1975,81.073
1976,119.148
1977,139.536
1978,155.431
1979,171.138
1980,168.146
1981,158.148
1982,134.078
1983,102.337
1984,63.919
1985,16.221
1986,0.029
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,4.486
1998,45.27
1999,91.803
2000,127.674
2001,159.324
2002,192.47
2003,207.241
2004,193.15
2005,169.134
2006,143.58
2007,97.904
2008,59.927
2009,14.481
2010,0.042
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,4.729
2022,40.472
2023,83.896
2024,122.023
2025,156.277
2026,183.369
2027,189.893
2028,200.084
2029,173.762
2030,153.149
2031,116.954
2032,69.324
2033,18.203
2034,0.071
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,5.266
2046,45.676
2047,99.382
2048,146.357
2049,167.348
2050,186.922
2051,191.77
2052,191.424
2053,174.834
2054,143.941
2055,105.185
2056,63.25
2057,17.469
2058,0.071
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,7.62
2070,55.371
2071,97.629
2072,133.158
2073,162.47
2074,184.674
2075,208.681
2076,203.668
2077,190.852
2078,151.755
2079,123.113
2080,73.43
2081,22.817
2082,0.077
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,6.711
2094,43.358
2095,92.769
2096,138.088
2097,170.574
2098,193.998
2099,195.853
2100,194.024
2101,165.171
2102,139.483
2103,106.614
2104,56.743
2105,17.207
2106,0.081
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,7.638
2118,49.421
2119,108.572
2120,144.797
2121,173.215
2122,199.02
2123,193.345
2124,212.113
2125,187.57
2126,151.909
2127,120.106
2128,72.463
2129,24.216
2130,0.133
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,9.456
2142,53.839
2143,108.421
2144,148.781
2145,194.748
2146,200.085
2147,224.838
2148,212.544
2149,197.445
2150,164.974
2151,118.026
2152,74.926
2153,24.434
2154,0.183
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,10.236
2166,54.827
2167,98.764
2168,136.702
2169,170.94
2170,194.722
