,global,direct,diffuse,directDuration,resolution,doy
112,3940.2366,2818.0017,1122.2349,14.083333,1m,113
113,3565.456,2432.574,1132.882,13.0,1m,114
114,4039.674,2896.343,1143.331,14.166667,1m,115
115,3656.0461,2502.389,1153.6571,13.166667,1m,116
116,4003.7385,2839.874,1163.8645,13.0,1m,117
117,4185.0347,3011.076,1173.9587,14.291667,1m,118
118,3649.311,2465.4612,1183.85,12.0,1m,119
119,4279.0835,3085.4644,1193.6193,14.5,1m,120
120,4180.183,2976.9246,1203.2585,13.25,1m,121
121,3916.584,2703.7979,1212.7861,13.0,1m,122
122,4414.54,3193.1626,1221.3772,14.4,1m,123
123,4458.7847,3228.2324,1230.552,14.25,1m,124
124,3881.7598,2642.2092,1239.5505,12.0,1m,125
125,4545.197,3296.799,1248.3978,14.681818,1m,126
126,4425.669,3168.5706,1257.0984,13.0,1m,127
127,4155.3247,2889.6711,1265.6536,13.0,1m,128
128,4502.6387,3228.6282,1274.0106,13.863636,1m,129
129,4709.524,3427.321,1282.2026,14.0,1m,130
130,4507.6367,3217.3987,1290.2378,13.5,1m,131
131,4302.249,3004.1304,1298.1183,14.2,1m,132
132,4824.8506,3519.0085,1305.8422,14.0,1m,133
133,4682.448,3369.1108,1313.3373,13.083333,1m,134
134,4404.902,3084.241,1320.661,14.375,1m,135
135,4253.8765,2926.0574,1327.8193,13.0,1m,136
136,4967.064,3632.2507,1334.8131,14.25,1m,137
137,5000.5522,3658.908,1341.6439,14.375,1m,138
138,4340.9624,2992.6948,1348.2675,13.0,1m,139
139,4560.53,3205.8416,1354.6882,13.125,1m,140
140,5095.558,3734.63,1360.9283,14.25,1m,141
141,4929.5293,3562.5352,1366.994,14.333333,1m,142
142,4644.3184,3271.4329,1372.8854,14.25,1m,143
143,4670.3423,3291.7402,1378.6023,13.25,1m,144
144,4234.1772,2850.781,1383.3964,11.333333,1m,145
145,5234.5967,3845.895,1388.7018,14.75,1m,146
146,4502.7104,3108.914,1393.7965,12.25,1m,147
147,3837.8892,2439.1912,1398.6981,11.5,1m,148
148,4786.7534,3383.3481,1403.4055,13.75,1m,149
149,3688.1606,2280.2424,1407.9181,10.75,1m,150
150,4827.52,3415.2852,1412.2347,14.0,1m,151
151,4318.877,2902.5222,1416.3547,12.0,1m,152
152,4683.361,3263.084,1420.2771,14.0,1m,153
153,3930.4536,2506.4531,1424.0004,11.75,1m,154
154,4898.003,3470.4949,1427.5083,13.75,1m,155
155,3879.9158,2449.112,1430.8038,10.0,1m,156
156,4434.7817,3000.8862,1433.8956,12.0,1m,157
157,4848.5396,3411.7563,1436.783,12.0,1m,158
158,2064.1387,624.67377,1439.4648,5.75,1m,159
159,5027.278,3585.3374,1441.9406,14.0,1m,160
160,2939.9534,1495.7444,1444.209,9.0,1m,161
161,4840.343,3394.0732,1446.2695,12.5,1m,162
162,3756.4497,2308.3284,1448.1213,11.0,1m,163
163,3165.8325,1716.0688,1449.7635,5.0,1m,164
164,2017.5039,566.30835,1451.1956,4.0,1m,165
165,2136.1086,683.6919,1452.4167,5.0,1m,166
166,3354.7017,1901.2754,1453.4264,5.0,1m,167
167,1792.3359,338.1119,1454.224,1.0,1m,168
168,1870.5758,415.76645,1454.8093,3.0,1m,169
