WallSurface_S,WallSurface_W,WallSurface_N,WallSurface_E,RoofSurface,doy
1110.804,408.316,272.183,850.876,734.883,295
2329.159,751.302,451.637,1255.023,1432.162,296
4476.941,994.176,515.413,2173.668,2131.06,297
737.943,374.972,256.139,382.08,590.481,298
1641.007,536.948,387.151,1289.675,1043.828,299
2418.118,714.975,428.335,1363.433,1386.56,300
4103.724,894.412,436.388,1802.967,1898.85,301
3504.286,849.566,454.7,1555.64,1745.704,302
266.063,223.537,194.558,227.39,390.446,303
1083.489,332.684,329.327,1063.346,829.158,304
2071.649,868.42,432.746,812.621,1229.008,305
1997.786,668.188,334.75,772.661,1045.462,306
1430.236,614.114,295.977,605.697,788.374,307
3374.009,755.471,388.024,1214.881,1499.544,308
2768.324,806.931,383.141,1056.417,1311.34,309
3567.13,828.876,363.557,1276.755,1457.545,310
1596.274,651.81,395.771,695.088,1034.638,311
436.634,243.895,204.548,341.282,414.971,312
1652.296,504.772,336.836,634.829,937.209,313
1228.678,537.866,228.601,443.572,618.734,314
1571.859,565.653,280.793,629.608,776.138,315
1674.529,562.389,350.08,710.306,931.934,316
2932.113,797.457,328.134,924.747,1174.909,317
661.123,218.638,192.587,418.973,436.273,318
356.247,260.366,206.739,243.667,424.272,319
174.159,112.748,103.272,134.221,201.102,320
2417.475,610.014,292.618,774.192,961.049,321
1108.847,366.665,220.852,540.217,548.47,322
2782.607,748.808,287.381,748.664,1003.129,323
105.48,99.535,97.16,106.303,186.966,324
55.788,55.917,54.991,56.67,104.484,325
1823.056,788.647,297.981,493.508,832.721,326
964.485,346.482,180.177,327.532,447.955,327
987.558,529.337,217.399,275.095,523.135,328
1772.207,472.631,308.793,801.704,808.391,329
1434.534,535.754,276.723,494.154,704.406,330
118.615,108.322,77.022,79.981,147.247,331
2287.708,584.919,240.189,623.756,770.507,332
1628.802,359.422,244.976,767.485,640.631,333
2289.331,570.79,270.323,718.777,823.609,334
1324.335,348.544,245.007,562.081,600.951,335
919.622,348.161,198.645,356.757,453.408,336
2069.554,497.088,227.009,641.75,685.194,337
1765.807,509.134,217.208,547.089,615.48,338
2278.635,683.847,260.288,568.182,785.321,339
3616.356,763.428,267.825,1042.367,915.53,340
2466.793,627.07,258.778,639.839,787.299,341
829.276,365.434,197.476,286.527,457.354,342
494.473,271.554,204.376,266.852,441.578,343
245.325,123.17,112.433,179.948,217.512,344
127.405,76.192,73.773,111.904,148.554,345
1791.209,349.625,210.787,632.872,590.552,346
1100.903,293.475,195.909,468.811,464.0,347
76.285,68.72,66.321,71.696,128.432,348
403.007,199.365,105.887,137.008,222.091,349
1058.296,282.649,205.139,532.389,461.087,350
2127.556,490.027,203.969,609.287,615.602,351
1043.435,312.893,189.734,422.828,447.598,352
955.302,303.693,169.798,330.766,399.414,353
909.678,303.249,157.298,317.078,371.222,354
2794.244,572.57,238.259,935.02,696.833,355
1084.454,289.48,183.54,432.421,447.467,356
202.014,156.987,129.695,150.955,251.994,357
694.53,291.616,186.162,381.45,392.449,358
1889.231,378.009,209.092,735.787,577.0,359
94.571,81.642,78.721,92.12,152.17,360
2349.311,564.697,205.876,577.601,650.522,361
2605.378,536.304,222.214,744.125,712.211,362
1451.127,379.904,197.309,524.869,505.508,363
3212.536,646.194,245.138,954.108,783.348,364
2971.617,617.783,250.478,931.017,756.945,365
